Project,Date,Chinook Run,Chinook,Jack Chinook,Steelhead,Wild Steelhead,Sockeye,Coho,Jack Coho,Shad,Lamprey,Bull Trout,Chum,Pink,TempC
Willamette Falls,1/1/2001,,,,27,,,,,,,,,,
Willamette Falls,1/2/2001,,,,56,,,,,,,,,,
Willamette Falls,1/3/2001,,,,23,,,,,,,,,,7.2
Willamette Falls,1/4/2001,,,,21,,,,,,,,,,7.2
Willamette Falls,1/5/2001,,,,11,,,,,,,,,,7.2
Willamette Falls,1/6/2001,,,,11,,,,,,,,,,6.7
Willamette Falls,1/7/2001,,,,8,,,,,,,,,,
Willamette Falls,1/8/2001,,,,15,,,,,,,,,,
Willamette Falls,1/9/2001,,,,8,,,,,,,,,,6.7
Willamette Falls,1/10/2001,,,,11,,,,,,,,,,6.1
Willamette Falls,1/11/2001,,,,8,,,,,,,,,,6.1
Willamette Falls,1/12/2001,,,,16,,,,,,,,,,5.6
Willamette Falls,1/13/2001,,,,9,,,,,,,,,,6.1
Willamette Falls,1/14/2001,,,,19,,,,,,,,,,
Willamette Falls,1/15/2001,,,,11,,,,,,,,,,
Willamette Falls,1/16/2001,,,,14,,,,,,,,,,6.1
Willamette Falls,1/17/2001,,,,7,,,,,,,,,,6.1
Willamette Falls,1/18/2001,,,,6,,,,,,,,,,6.1
Willamette Falls,1/19/2001,,,,4,,,,,,,,,,5.6
Willamette Falls,1/20/2001,,,,5,,,,,,,,,,
Willamette Falls,1/21/2001,,,,5,,,,,,,,,,
Willamette Falls,1/22/2001,,,,10,,,,,,,,,,5.6
Willamette Falls,1/23/2001,,,,16,,,,,,,,,,5.6
Willamette Falls,1/24/2001,,,,15,,,,,,,,,,6.1
Willamette Falls,1/25/2001,,,,17,,,,,,,,,,6.1
Willamette Falls,1/26/2001,,,,50,,,,,,,,,,6.1
Willamette Falls,1/27/2001,,,,12,,,,,,,,,,
Willamette Falls,1/28/2001,,,,8,,,,,,,,,,
Willamette Falls,1/29/2001,,,,5,,,,,,,,,,5.6
Willamette Falls,1/30/2001,,,,2,,,,,,,,,,5.6
Willamette Falls,1/31/2001,,,,8,,,,,,,,,,5.6
Willamette Falls,2/1/2001,,,,8,,,,,,,,,,5.6
Willamette Falls,2/2/2001,,,,20,,,,,,,,,,5.6
Willamette Falls,2/3/2001,,,,39,,,,,,,,,,
Willamette Falls,2/4/2001,,,,51,,,,,,,,,,6.1
Willamette Falls,2/5/2001,,,,99,,,,,,,,,,
Willamette Falls,2/6/2001,,,,175,,,,,,,,,,6.7
Willamette Falls,2/7/2001,,,,100,,,,,,,,,,7.2
Willamette Falls,2/8/2001,,,,35,,,,,,,,,,6.7
Willamette Falls,2/9/2001,,,,18,,,,,,,,,,6.1
Willamette Falls,2/10/2001,,,,21,,,,,,,,,,
Willamette Falls,2/11/2001,,,,,,,,,,,,,,
